frame_index,reference_frame,middle_frame,current_frame,similarity,delete_frame,delete_range,memory_size,matching_points,orb_runtime_ms,lightglue_runtime_ms,runtime_ms,confidence,semantic_similarity,final_similarity,spatial_alpha,average_displacement,median_displacement,maximum_displacement,depth_runtime_ms,geometry_similarity,depth_difference,depth_metric,depth_cache_hit_reference,depth_cache_hit_current,memory_state,policy,transition,unified_memory_score,geometry_confidence,intent_state,estimator,decision,window_before,window_after,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,local_delta_x,local_delta_z,delta_yaw,delta_pitch,movement_magnitude,rotation_magnitude,pose_confidence,pose_delta_position,view_state,view_confidence,view_pose_distance,view_yaw_delta,nearest_view_frame_id,key_anchor_frame_id,key_anchor_type,key_anchor_reason,memory_selection_mode,memory_selection_target,memory_selection_anchor_type,memory_selection_reason,source_anchor_frame_id,source_anchor_locked,protected_anchor_ids,loop_closure_detected,turn_result,policy_mode,allow_memory_query,allow_hard_retrieve,allow_soft_reuse,query_result,candidate_count,best_candidate_frame_id,best_candidate_score,best_candidate_pose_distance,best_candidate_yaw_delta,best_candidate_frame_gap,best_candidate_first_visit,best_candidate_visit_age,best_candidate_cluster_id,best_candidate_first_visit_frame_id,target_window_ids,retrieved_window_ids,window_rank_reason,trajectory_motion_state,trajectory_direction,trajectory_frames,trajectory_distance,trajectory_should_progress,trajectory_confidence,revisit_gate_allow_retrieve,revisit_gate_allow_soft_reuse,revisit_gate_force_progress,revisit_gate_protect_current,revisit_gate_reason,selection_is_hard_retrieve,selection_is_soft_reuse,selection_is_progress,action_mode,action_mode_confidence,action_mode_reason,scheduler_path,turn_state,turn_confidence,turn_duration,turn_direction,turn_reason,window_layout_type,window_reason,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,use_pose_memory,use_pose_path_memory,reference_override_used,retrieved_reference_active,retrieved_reference_ids,initial_anchor_protected,protected_frame_ids,anchor_frame_id,anchor_distance,anchor_gap,anchor_lag,hysteresis_hold
9,2,5,9,0.9852046743035316,3,3-4-5,9,225280,0.0,0.0,553.8704348728061,0.9852046743035316,0.9852046743035316,0.9852046743035316,0.0,0.0,0.0,0.0,553.8704348728061,0.9852046743035316,0.014795325696468353,l1,False,False,KEEP,physmem_rule,action_mode_view_rotation_protect|mode=Viewpoint Locomotion|turn=TurnStart|view=Novel View|selection=protect_current|trajectory=Starting:right|prev=KEEP,0.6363475766975824,0.9852046743035316,Viewpoint Locomotion,depth,physmem_keep,0 1 2 3 4 5 6 7 8,0 1 2 6 7 8 9 10 11,0.6663677496442973,0.01996229369068322,-0.0598958320915699,0.0,0.6663677496442973,0.01996229369068322,0.6666666865348816,0.0,-0.0598958320915699,0.0,0.6666666865348816,0.0598958320915699,1.0,0.6666666865348816,Novel View,0.0,inf,inf,,,,,protect_current,,,move=0.6667:view=0.0599:Viewpoint Locomotion,2,True,2,False,TurnStart,TurnStartPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,right,1,0.6666666865348816,False,0.75,False,False,True,False,novel_view_progress,False,False,False,Viewpoint Locomotion,0.6666666865348816,move=0.6667:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->protect_current,TurnStart,0.7486979011446238,1,left,rotation=0.0599,protect_current,TurnStart:protect_current,Turn Left,Right,True,True,viewpoint_locomotion,True,True,False,False,,True,0 1 2,2,-1.0,7,-1.0,False
12,2,8,12,0.9783711917698383,6,6-7-8,9,225280,0.0,0.0,139.74375883117318,0.9783711917698383,0.9783711917698383,0.9783711917698383,0.0,0.0,0.0,0.0,139.74375883117318,0.9783711917698383,0.021628808230161667,l1,True,False,KEEP,physmem_rule,turn_in_progress_soft_insert|insert_hysteresis_enter=0.35|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=turn_transition|trajectory=Idle:none|prev=KEEP,0.6263664856838436,0.9783711917698383,Turn Left,depth,physmem_keep,0 1 2 6 7 8 9 10 11,0 1 2 9 10 11 12 13 14,0.6663677496442973,0.01996229369068322,-0.2395833320915699,0.0,0.0,0.0,0.0,0.0,-0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,9,,,,turn_transition,,,rotation=0.1797,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,False,False,False,View Rotation Only,0.998263888888889,view=0.1797:Turn Left,View Rotation Only->turn_transition,TurnInProgress,1.0,2,left,rotation=0.1797,turn_transition,TurnInProgress:turn_transition,Turn Left,None,True,False,viewpoint_change,True,True,False,False,,True,0 1 2,2,-1.0,10,-1.0,False
15,2,11,15,0.9778089467436075,9,9-10-11,9,225280,0.0,0.0,145.6692493520677,0.9778089467436075,0.9778089467436075,0.9778089467436075,0.0,0.0,0.0,0.0,145.6692493520677,0.9778089467436075,0.02219105325639248,l1,True,False,KEEP,physmem_rule,turn_in_progress_soft_insert|insert_hysteresis_enter=0.35|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=turn_transition|trajectory=Starting:left|prev=KEEP,0.7321694160935434,0.9778089467436075,Viewpoint Locomotion,depth,physmem_keep,0 1 2 9 10 11 12 13 14,0 1 2 12 13 14 15 16 17,0.345069132957115,-0.06879758828733987,-0.2994791641831398,0.0,-0.32129861668718235,-0.08875988197802309,-0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.6666666865348816,0.3333333432674408,Known View,0.5377178604598918,0.3333333432674408,0.2395833320915699,9,,,,turn_transition,,,rotation=0.0599,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.7486979011446238,3,left,rotation=0.0599,turn_transition,TurnInProgress:turn_transition,Turn Left,Left,True,True,viewpoint_locomotion,True,True,False,False,,True,0 1 2,2,-1.0,13,-1.0,False
18,2,14,18,0.9338584914803505,12,12-13-14,9,225280,0.0,0.0,139.16693814098835,0.9338584914803505,0.9338584914803505,0.9338584914803505,0.0,0.0,0.0,0.0,139.16693814098835,0.9338584914803505,0.0661415085196495,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=turn_transition|trajectory=Starting:right|prev=KEEP,0.5046945180236085,0.9338584914803505,Viewpoint Locomotion,depth,physmem_insert,0 1 2 12 13 14 15 16 17,0 1 2 15 16 17 18 19 20,0.6604784219946442,0.03903607121974452,-0.3593749962747097,0.0,0.3154092890375293,0.10783365950708439,0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,1.0,0.3333333432674408,Known View,0.6555028474294428,0.01996229369068325,0.2994791641831398,9,,,,turn_transition,,,rotation=0.0599,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.7486979011446238,4,left,rotation=0.0599,turn_transition,TurnInProgress:turn_transition,Turn Left,Right,True,True,viewpoint_locomotion,True,True,False,False,,True,0 1 2,2,-1.0,16,-1.0,False
21,2,17,21,0.9452574886381626,15,15-16-17,9,225280,0.0,0.0,131.69217389076948,0.9452574886381626,0.9452574886381626,0.9452574886381626,0.0,0.0,0.0,0.0,131.69217389076948,0.9452574886381626,0.05474251136183739,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=turn_transition|trajectory=Starting:left|prev=INSERT,0.5396226986120505,0.9452574886381626,Viewpoint Locomotion,depth,physmem_insert,0 1 2 15 16 17 18 19 20,0 1 2 18 19 20 21 22 23,0.34506913295711494,-0.06879758828733987,-0.2994791641831398,0.0,-0.3154092890375293,-0.10783365950708439,-0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,1.0,0.3333333432674408,Known View,1.0,5.551115123125783e-17,0.0,15,,,,turn_transition,,,rotation=0.0599,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.7486979011446238,5,right,rotation=0.0599,turn_transition,TurnInProgress:turn_transition,Turn Right,Left,True,True,viewpoint_locomotion,True,True,False,False,,True,0 1 2,2,-1.0,19,-1.0,False
24,2,20,24,0.9455857537686825,18,18-19-20,9,225280,0.0,0.0,86.55402902513742,0.9455857537686825,0.9455857537686825,0.9455857537686825,0.0,0.0,0.0,0.0,86.55402902513742,0.9455857537686825,0.05441424623131752,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Revisit|selection=turn_transition|trajectory=Starting:right|prev=INSERT,0.6597337567615426,0.9455857537686825,Viewpoint Locomotion,depth,physmem_insert,0 1 2 18 19 20 21 22 23,0 1 2 21 22 23 24 25 26,0.6663677496442972,0.019962293690683225,-0.2395833320915699,0.0,0.32129861668718235,0.08875988197802309,0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.6666666865348816,0.3333333432674408,Revisit,0.7433035714285714,1.1107649934270853e-16,0.1796875,9,,,,turn_transition,,,rotation=0.0599,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.3333,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.7486979011446238,6,right,rotation=0.0599,turn_transition,TurnInProgress:turn_transition,Turn Right,Right,True,True,viewpoint_locomotion,True,True,False,False,,True,0 1 2,2,-1.0,22,-1.0,False
27,2,23,27,0.9497402273118496,21,21-22-23,9,225280,0.0,0.0,143.71006237342954,0.9497402273118496,0.9497402273118496,0.9497402273118496,0.0,0.0,0.0,0.0,143.71006237342954,0.9497402273118496,0.050259772688150406,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=turn_transition|trajectory=Idle:none|prev=INSERT,0.532827453163873,0.9497402273118496,Turn Right,depth,physmem_insert,0 1 2 21 22 23 24 25 26,0 1 2 24 25 26 27 28 29,0.6663677496442972,0.019962293690683225,-0.0598958320915699,0.0,0.0,0.0,0.0,0.0,0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,24,,,,turn_transition,,,rotation=0.1797,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,False,False,False,View Rotation Only,0.998263888888889,view=0.1797:Turn Right,View Rotation Only->turn_transition,TurnInProgress,1.0,7,right,rotation=0.1797,turn_transition,TurnInProgress:turn_transition,Turn Right,None,True,False,viewpoint_change,True,True,False,False,,True,0 1 2,2,-1.0,25,-1.0,False
30,2,26,30,0.9341180995106697,24,24-25-26,9,225280,0.0,0.0,140.7013861462474,0.9341180995106697,0.9341180995106697,0.9341180995106697,0.0,0.0,0.0,0.0,140.7013861462474,0.9341180995106697,0.06588190048933029,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Revisit|selection=turn_transition|trajectory=Starting:backward|prev=INSERT,0.508596579046626,0.9341180995106697,Viewpoint Locomotion,depth,physmem_insert,0 1 2 24 25 26 27 28 29,0 1 2 27 28 29 30 31 32,0.7129876555922678,-0.6450723334565056,-0.08007812313735485,0.0,0.046619905947970657,-0.6650346271471889,0.0,-0.6666666865348816,-0.02018229104578495,0.0,0.6666666865348816,0.02018229104578495,1.0,0.6666666865348816,Revisit,0.5267236979589576,0.6666666865348816,0.02018229104578495,9,,,,turn_transition,,,rotation=0.0202,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,backward,1,0.6666666865348816,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.6667,False,False,False,Viewpoint Locomotion,0.6666666865348816,move=0.6667:view=0.0202:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.2522786380723119,8,left,rotation=0.0202,turn_transition,TurnInProgress:turn_transition,Turn Left,Backward,True,True,viewpoint_locomotion,True,True,False,False,,True,0 1 2,2,-1.0,28,-1.0,False
33,2,29,33,0.9300662353634834,0,0-1,9,225280,0.0,0.0,139.53731814399362,0.9300662353634834,0.9300662353634834,0.9300662353634834,0.0,0.0,0.0,0.0,139.53731814399362,0.9300662353634834,0.06993376463651657,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=turn_transition|trajectory=Starting:forward|prev=INSERT,0.4950589474408341,0.9300662353634834,Viewpoint Locomotion,depth,physmem_insert,0 1 2 27 28 29 30 31 32,2 27 28 29 30 31 32 33 34,0.672959292043139,0.3541262104333355,1.862645149230957e-09,0.0,-0.04002836354912891,0.9991985438898411,0.0,1.0,0.080078125,0.0,1.0,0.080078125,1.0,1.0,Known View,0.41520195891044703,0.3153372289261253,0.35937499813735485,18,,,,turn_transition,,,rotation=0.0801,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,forward,1,1.0,False,0.75,False,False,False,False,known_view_blocked_by_motion:1.0000,False,False,False,Viewpoint Locomotion,1.0,move=1.0000:view=0.0801:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,1.0,9,right,rotation=0.0801,turn_transition,TurnInProgress:turn_transition,Turn Right,Walk,True,True,viewpoint_locomotion,True,True,False,False,,False,,2,-1.0,31,-1.0,False
36,28,31,35,0.8925044164061546,29,29-30-31,9,225280,0.0,0.0,149.71045730635524,0.8925044164061546,0.8925044164061546,0.8925044164061546,0.0,0.0,0.0,0.0,149.71045730635524,0.8925044164061546,0.10749558359384537,l1,False,False,KEEP,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|turn=PostTurnStabilization|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=INSERT,0.6191227597836227,0.8925044164061546,Walk,depth,physmem_keep,2 27 28 29 30 31 32 33 34,2 27 28 32 33 34 35 36 37,0.33962595063834333,1.3541262110542172,1.862645149230957e-09,0.0,-0.33333334140479565,1.0000000006208818,-0.3333333432674408,1.0,0.0,0.0,1.0540925565309005,0.0,1.0,1.0540925565309005,Novel View,0.5,1.0540925565309003,0.0,33,,,,orb_locomotion,,,move=1.0541:Walk,,False,,False,,LocomotionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Progressing,forward,2,2.0540925565309003,True,1.0,False,False,False,False,locomotion_only_orb_dominant,False,False,False,Locomotion Only,1.0,move=1.0541:Walk,Locomotion Only->orb_locomotion,PostTurnStabilization,1.0,1,right,mouse_stopped_after_turn,orb_locomotion,PostTurnStabilization:orb_locomotion,None,Walk,False,True,locomotion,True,True,False,False,,False,,28,-1.0,7,-1.0,False
